Activity Constituency,Organization Common Name,Amount Paid,Confirmed Jobs Created
Battlefords - Lloydminster,Town of Wilkie,"$4,203",3
Battlefords - Lloydminster,ACTON'S LOWER SHANNON FARMS,"$6,194",4
Battlefords - Lloydminster,Battlefords Boys and Girls Club,"$22,824",7
Battlefords - Lloydminster,Battlefords Family Health Centre,"$10,573",4
Battlefords - Lloydminster,Battlefords Indian and Metis Friendship Center,"$3,523",1
Battlefords - Lloydminster,Battlefords Interval House,"$7,175",2
Battlefords - Lloydminster,Battlefords Residential Services Inc.,"$3,097",1
Battlefords - Lloydminster,Big Brothers Big Sisters of Lloydminster,"$3,481",1
Battlefords - Lloydminster,Blackstar Community For Better Living Initiative Inc.,"$14,017",7
Battlefords - Lloydminster,Brightsand Lake Regional Park Authority,"$14,363",4
Battlefords - Lloydminster,CEPP Child Care Centre,"$2,513",1
Battlefords - Lloydminster,CMHA Battlefords Branch,"$5,985",2
Battlefords - Lloydminster,Canadian Tire #301,"$1,548",1
Battlefords - Lloydminster,Cavalier Agrow Ltd.,"$7,665",3
Battlefords - Lloydminster,City of North Battleford Department of Leisure Services,"$3,972",3
Battlefords - Lloydminster,Cree Cattle Ranch,"$1,543",1
Battlefords - Lloydminster,Crocus Hill Garden,"$1,351",1
Battlefords - Lloydminster,Edam,"$3,097",2
Battlefords - Lloydminster,Glaslyn Museum,"$5,309",2
Battlefords - Lloydminster,Green Acres Agro Inc,"$1,548",1
Battlefords - Lloydminster,Josuttes Ag,"$1,548",1
Battlefords - Lloydminster,Kowach Foundation,"$34,882",10
Battlefords - Lloydminster,Lashburn Centennial Museum,"$2,599",2
Battlefords - Lloydminster,Little Loon Regional Park Authority,"$10,655",5
Battlefords - Lloydminster,Lloydminster Interval Home  Society,"$14,098",2
Battlefords - Lloydminster,Lloydminster Minor Ball Association,"$3,097",1
Battlefords - Lloydminster,Lloydminster Native Friendship Centre,"$10,004",3
Battlefords - Lloydminster,Lloydminster Region Health Foundation Inc,"$3,097",1
Battlefords - Lloydminster,Luseland and District Discovery Daycare Inc,"$3,451",1
Battlefords - Lloydminster,MADAC,"$3,097",1
Battlefords - Lloydminster,Macklin Daycare Inc.,"$3,097",1
Battlefords - Lloydminster,Macklin Lake Regional Park Authority,"$9,290",3
Battlefords - Lloydminster,Meeting Lake Regional Park,"$13,845",4
Battlefords - Lloydminster,Mervin & District Golf Club Inc,"$12,033",7
Battlefords - Lloydminster,North Battleford Daycare Centre Inc,"$2,995",1
Battlefords - Lloydminster,North Battleford Library,"$3,312",1
Battlefords - Lloydminster,Northwest Community Futures,"$3,331",1
Battlefords - Lloydminster,Paradise Hill Care Home Inc.,"$3,555",1
Battlefords - Lloydminster,Paradise Hill Early Learning Centre Inc.,"$5,899",2
Battlefords - Lloydminster,Parkview Place,"$3,021",1
Battlefords - Lloydminster,Playtime Co-operative Childcare Limited,"$6,194",2
Battlefords - Lloydminster,RM of Manitou Lake #442,"$1,371",1
Battlefords - Lloydminster,RM of Meota No. 468,"$1,548",1
Battlefords - Lloydminster,RM of Round Hill No. 467,"$1,337",1
Battlefords - Lloydminster,RM of Turtle RIver No. 469,"$2,876",2
Battlefords - Lloydminster,RM of Winslow No.319,"$3,097",1
Battlefords - Lloydminster,Resort Village of Cochin,"$3,445",2
Battlefords - Lloydminster,Resource Management International Inc.,"$1,548",1
Battlefords - Lloydminster,Rural Municipality of Buffalo No. 409,"$1,543",1
Battlefords - Lloydminster,Rural Municipality of Frenchman Butte No. 501,"$4,424",2
Battlefords - Lloydminster,Sandy Beach Lake Regional Park Authority,"$7,144",2
Battlefords - Lloydminster,Saskatchewan Health Authority,"$35,608",21
Battlefords - Lloydminster,Saulteaux First Nation,"$9,376",4
Battlefords - Lloydminster,St Walburg Home Building Center,"$4,645",3
Battlefords - Lloydminster,St. Walburg & District Historical Museum Inc,"$5,183",2
